Theme,Sub-Theme,Feature Name,URL,longitude,latitude
Community Use,Cemetery,Melbourne General Cemetery,https://www.tripadvisor.com.au/Attraction_Review-g255100-d7598546-Reviews-Melbourne_General_Cemetery-Melbourne_Victoria.html,144.965786,-37.789189
Leisure/Recreation,Major Sports & Recreation Facility,Carlton Football Club,https://www.carltonfc.com.au/,144.9619678,-37.78408644
Leisure/Recreation,Major Sports & Recreation Facility,Visy Park,https://www.visy.com.au/,144.9619826,-37.78343039
Retail,Retail,Queen Victoria Market,https://www.tripadvisor.com.au/Attraction_Review-g255100-d256569-Reviews-Queen_Victoria_Market-Melbourne_Victoria.html,144.9571585,-37.8075002
Education Centre,Primary Schools,Carlton Gardens Primary School,https://www.tripadvisor.com.au/Attraction_Review-g255100-d9595192-Reviews-Carlton_Gardens-Melbourne_Victoria.html,144.9694063,-37.80209538
Education Centre,Primary Schools,Carlton Primary School,https://carltonprimaryschool.vic.edu.au/,144.9701473,-37.79590798
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Carlton Gardens North,https://www.tripadvisor.com.au/Attraction_Review-g255100-d9595192-Reviews-Carlton_Gardens-Melbourne_Victoria.html,144.9719976,-37.80176908
Place Of Assembly,Art Gallery/Museum,Old Melbourne Gaol Crime & Justice Experience,https://www.tripadvisor.com.au/Attraction_Review-g255100-d256568-Reviews-Old_Melbourne_Gaol-Melbourne_Victoria.html,144.9654639,-37.80776441
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Kings Domain,https://www.tripadvisor.com.au/Attraction_Review-g255100-d526965-Reviews-King_s_Domain_Gardens-Melbourne_Victoria.html,144.9741079,-37.82552398
Education Centre,Secondary Schools,Melbourne Grammar School,https://mgs.vic.edu.au/,144.976285,-37.8342561
Education Centre,School - Primary and Secondary Education,Wesley College,https://www.wesleycollege.edu.au/,144.9822278,-37.84852018
Place Of Assembly,Theatre Live,FairFax Studio,https://www.artscentremelbourne.com.au/Visit/Theatres-and-Spaces/Fairfax-Studio,144.9688362,-37.82166846
Place Of Assembly,Theatre Live,Playhouse,https://www.tripadvisor.com.au/Hotel_Review-g3331148-d11823656-Reviews-Playhouse_Serviced_Apartments-Abbotsford_Yarra_Greater_Melbourne_Victoria.html,144.9683378,-37.82181246
Place Of Assembly,Theatre Live,State Theatre,https://www.tripadvisor.com.au/Attraction_Review-g255100-d13520713-Reviews-State_Theatre-Melbourne_Victoria.html,144.9684696,-37.82128063
Education Centre,Tertiary (University),University of Melbourne (VCA and Music),https://www.tripadvisor.com.au/Attraction_Review-g255100-d11882821-Reviews-University_of_Melbourne-Melbourne_Victoria.html,144.9693325,-37.82411377
Place Of Assembly,Theatre Live,St Martins Youth Arts Centre,https://www.tripadvisor.com.au/Attraction_Review-g255100-d257322-Reviews-Arts_Centre_Melbourne-Melbourne_Victoria.html,144.9811422,-37.83524295
Leisure/Recreation,Major Sports & Recreation Facility,Flemington Racecourse,https://www.tripadvisor.com.au/Attraction_Review-g255100-d2550533-Reviews-Flemington_Racecourse-Melbourne_Victoria.html,144.912143,-37.79080826
Transport,Railway Station,Southern Cross Railway Station,https://www.tripadvisor.com.au/Attraction_Review-g255100-d9811247-Reviews-Southern_Cross_Station-Melbourne_Victoria.html,144.9529447,-37.81816331
Place Of Assembly,Theatre Live,Princess Theatre,https://www.tripadvisor.com.au/Attraction_Review-g255100-d258072-Reviews-Princess_Theatre-Melbourne_Victoria.html,144.9723266,-37.81072571
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Treasury Gardens,https://www.tripadvisor.com.au/Attraction_Review-g255100-d6960703-Reviews-Treasury_Gardens-Melbourne_Victoria.html,144.9759523,-37.81439936
Education Centre,Secondary Schools,University High School,https://unihigh.vic.edu.au/,144.9560344,-37.79731362
Community Use,Public Buildings,State Library Victoria,https://www.tripadvisor.com.au/Attraction_Review-g255100-d1574223-Reviews-State_Library_Victoria-Melbourne_Victoria.html,144.9643303,-37.80998522
